Proteins,Shigella,Salmonella,Phospholyation, Ubiquitination
A0A087WWM0,0,1,0,0
A0A087WYR3,1,0,0,0
A0A087WZK9,0,1,0,0
A0A087X253,0,1,0,0
A0A087X2I1,0,1,0,1
A0A0B4J1Z1,1,0,1,0
A0AVI2,1,0,1,0
A0AVT1,1,1,1,1
A0MZ66,1,1,1,1
A1L390,1,0,1,0
A2A3N6,1,0,1,1
A2A3R5,1,0,0,1
A6NEM2,1,0,1,1
A6NHR9,1,0,1,1
A6NIZ1,1,0,1,1
A6NLN1,1,0,1,1
A6ZKI3,1,0,1,1
A7E2V4,1,0,1,0
A8MXP9,1,0,1,1
B0QY89,1,1,0,1
B1AMS2,0,1,0,1
B4DEH8,1,0,0,1
B4DGU4,1,0,0,1
B4DMR0,0,1,0,1
B5MCF9,0,1,0,1
B5ME19,1,0,1,1
B7ZLC4,0,1,0,0
B7ZLF4,0,1,0,0
B8ZZQ6,1,0,0,1
C9J0K6,1,0,0,1
C9J9C1,1,0,0,1
C9J9K3,0,1,0,1
C9JE12,1,0,0,1
C9JFE4,1,0,0,1
C9JFR7,0,1,0,1
C9JG97,0,1,0,1
C9JKI3,1,0,0,1
D3YTB1,0,1,0,0
D6RG19,0,1,0,0
E5RI99,0,1,0,1
E7ETK0,0,1,0,1
E7EVA0,1,0,1,1
E7EW69,1,0,0,1
E9PAV3,1,1,1,0
E9PF10,1,0,0,0
E9PJM3,0,1,0,0
F8VUA2,0,1,0,0
F8W1R7,1,0,0,1
F8W7C6,1,0,0,1
G3V126,0,1,0,0
G3V1L9,1,0,0,0
G3V295,0,1,0,1
G5E9T8,1,0,0,0
H0Y4V9,1,0,0,0
H0YD73,1,0,0,0
H0YIN8,1,0,0,1
H0YJ92,0,1,0,0
H3BLV9,0,1,0,0
H3BM14,0,1,0,0
H3BN98,1,0,0,0
H3BPN3,0,1,0,0
H7BXI1,1,0,1,0
H7BY58,1,0,1,0
H7C1E4,0,1,0,1
J3KNN7,0,1,0,0
J3KQ32,0,1,0,0
J3KQ48,0,1,0,1
J3QR09,1,1,0,0
J3QRU1,1,0,0,0
J3QRV5,0,1,1,0
K7EIG1,0,1,0,1
K7EM56,0,1,0,0
K7EP07,0,1,0,0
K7ER00,0,1,0,0
M0QYS1,0,1,0,1
M0R0F0,0,1,0,0
M0R2B7,0,1,1,1
O00124,1,0,1,1
O00139,1,0,1,1
O00148,1,0,1,1
O00154,1,0,1,1
O00161,1,1,1,1
O00165,0,1,1,1
O00186,1,1,1,1
O00193,1,1,1,1
O00203,1,1,1,1
O00214,1,0,1,1
O00231,1,0,1,1
O00232,1,1,1,1
O00233,1,0,1,1
O00264,1,1,1,1
O00267,1,0,1,1
O00268,1,0,1,0
O00273,0,1,1,1
O00291,1,0,1,1
O00299,1,1,1,1
O00303,0,1,1,1
O00401,1,0,1,0
O00410,1,1,1,1
O00418,1,1,1,1
O00425,1,1,1,1
O00429,1,1,1,1
O00443,0,1,1,1
O00458,1,0,1,1
O00470,1,0,1,0
O00471,1,0,1,0
O00479,1,0,1,0
O00483,0,1,1,1
O00487,1,0,1,1
O00499,1,1,1,0
O00505,1,1,1,1
O00512,0,1,1,0
O00541,1,0,1,1
O00559,1,1,1,0
O00567,1,0,1,1
O00571,1,1,1,1
O00712,1,1,1,0
O00762,0,1,1,1
O00767,1,1,1,1
O14493,1,0,1,0
O14495,1,0,1,1
O14497,1,0,1,1
O14530,0,1,1,1
O14545,1,1,1,1
O14562,1,0,1,1
O14579,1,0,1,1
O14617,1,1,1,1
O14639,1,1,1,0
O14646,1,0,1,0
O14672,1,0,1,1
O14686,0,1,1,1
O14737,1,1,1,1
O14744,1,1,1,1
O14745,1,1,1,1
O14763,1,0,1,1
O14763-2,1,0,0,1
O14776,1,0,1,1
O14818,1,1,1,1
O14828,1,1,1,1
O14874,1,0,1,1
O14907,0,1,1,0
O14908,1,1,1,1
O14910,1,0,1,1
O14936,1,0,1,1
O14939,1,1,1,1
O14949,0,1,1,0
O14964,1,1,1,1
O14972,1,0,1,1
O14974,1,1,1,0
O14975,1,1,1,1
O14977,1,0,0,1
O14979,1,0,1,1
O14980,1,1,1,1
O15014,1,1,1,0
O15018,1,0,1,0
O15020,1,0,1,0
O15027,1,1,1,0
O15037,1,0,1,1
O15047,1,0,1,0
O15061,1,1,1,1
O15067,1,1,1,1
O15084,1,0,1,1
O15085,0,1,1,0
O15126,1,1,1,1
O15143,1,0,1,1
O15144,1,1,1,1
O15145,1,1,1,1
O15155,1,0,1,1
O15160,0,1,1,1
O15162,1,0,1,1
O15164,0,1,1,1
O15173,1,0,1,1
O15212,1,1,1,1
O15231,1,0,1,0
O15234,1,1,1,1
O15258,1,0,1,1
O15260,1,0,1,1
O15269,1,0,1,1
O15294,1,1,1,1
O15304,1,0,1,1
O15344,1,1,1,1
O15347,1,0,1,1
O15355,1,0,1,1
O15357,1,0,1,1
O15371,1,1,1,1
O15372,1,0,1,1
O15379,1,0,1,1
O15400,1,0,1,1
O15417,0,1,1,1
O15427,1,0,1,1
O15439,1,0,1,1
O15446,0,1,1,0
O15479,1,0,1,1
O15498,1,0,1,1
O15511,1,0,1,1
O15513,0,1,1,0
O15523,0,1,1,1
O15525,1,0,1,1
O15534,0,1,1,0
O15541,0,1,1,0
O15551,1,0,1,0
O43143,1,1,1,1
O43148,1,0,1,1
O43150,0,1,1,0
O43166,1,0,1,0
O43175,1,1,1,1
O43237,1,1,1,0
O43242,1,1,1,1
O43252,1,0,1,1
O43290,1,1,1,1
O43291,1,0,1,1
O43294,1,1,1,0
O43390,1,0,1,1
O43395,1,0,1,1
O43396,1,1,1,1
O43399,0,1,1,1
O43426,0,1,1,0
O43427,0,1,1,1
O43432,1,1,1,1
O43447,1,0,1,1
O43464,0,1,1,1
O43491,1,1,1,1
O43516,1,0,1,0
O43583,1,1,1,1
O43617,1,0,0,1
O43633,1,0,1,1
O43663,0,1,1,1
O43665,1,0,1,0
O43683,0,1,1,1
O43684,1,1,1,1
O43684-2,1,0,0,0
O43688,1,0,1,0
O43707,1,1,1,1
O43709,1,1,1,1
O43719,1,1,1,1
O43752,1,1,1,1
O43765,1,1,1,1
O43768,1,1,1,1
O43776,1,1,1,1
O43791,1,0,1,1
O43795,1,0,1,1
O43805,0,1,1,1
O43809,1,0,1,1
O43813,0,1,1,1
O43823,0,1,1,0
O43847,1,1,1,1
O43896,0,1,1,0
O43920,0,1,0,1
O60216,1,1,1,1
O60231,1,1,1,1
O60234,1,0,1,1
O60238,1,0,1,1
O60245,1,0,1,0
O60256,1,1,1,1
O60262,1,0,0,1
O60264,1,0,1,1
O60271,1,1,1,1
O60291,1,0,1,1
O60293,1,1,1,1
O60307,1,0,1,0
O60331,1,1,1,1
O60331-4,1,0,0,0
O60341,0,1,1,1
O60343,1,1,1,0
O60437,1,0,1,1
O60488,1,1,1,1
O60488-2,1,0,0,1
O60493,1,0,1,1
O60496,1,0,1,1
O60502,1,0,1,1
O60504,1,1,1,0
O60506,1,1,1,1
O60566,1,1,1,1
O60664,1,0,1,1
O60678,1,1,1,1
O60683,1,0,1,0
O60684,0,1,1,1
O60716,1,1,1,1
O60725,1,0,1,1
O60749,1,1,1,1
O60762,0,1,1,1
O60763,1,1,1,1
O60784,1,1,1,1
O60814,1,1,1,1
O60825,1,1,1,0
O60832,1,1,1,1
O60841,1,1,1,1
O60869,1,1,1,1
O60884,1,1,1,1
O60885,1,0,1,0
O60925,1,0,1,0
O60934,0,1,1,1
O75044,1,0,1,1
O75083,1,0,1,1
O75110,1,0,1,1
O75122,1,1,1,0
O75128,1,0,1,0
O75131,1,1,1,1
O75146-2,1,0,0,0
O75151,1,0,1,1
O75152,1,0,1,1
O75153,1,0,1,1
O75179,1,1,1,0
O75190,1,1,1,1
O75312,1,0,1,1
O75351,1,1,1,1
O75367,1,0,1,1
O75367-3,1,0,0,1
O75369,1,1,1,1
O75376,1,1,1,1
O75382,1,0,1,0
O75385,0,1,1,0
O75396,1,1,1,1
O75400,1,1,1,1
O75400-2,1,0,0,1
O75436,1,1,1,1
O75475,1,1,1,0
O75494,1,1,1,0
O75509,0,1,1,0
O75531,1,1,1,1
O75533,1,1,1,1
O75534,0,1,1,1
O75569,1,1,1,0
O75592,1,1,1,1
O75608,1,0,1,1
O75643,1,1,1,1
O75663,1,1,1,1
O75674,1,0,1,1
O75676,1,1,1,1
O75683,1,1,1,1
O75688,1,1,1,1
O75691,1,0,1,0
O75694,1,0,1,1
O75695,1,1,1,1
O75717,0,1,1,1
O75794,1,1,1,1
O75808,0,1,1,1
O75817,1,0,1,1
O75821,1,1,1,1
O75822,1,1,1,1
O75832,1,0,1,1
O75844,1,1,1,1
O75886,1,1,1,1
O75909,1,1,1,0
O75911,0,1,0,1
O75915,1,1,1,1
O75925,1,1,1,1
O75937,1,0,1,1
O75962,1,1,1,0
O76003,1,0,1,1
O76021,1,1,1,1
O76075,1,0,1,1
O76080,1,0,1,1
O76094,1,1,1,1
O94762,1,0,1,1
O94776,1,1,1,1
O94782,1,0,1,1
O94804,1,1,1,1
O94806,0,1,1,0
O94808,1,0,1,1
O94817,0,1,1,1
O94826,1,1,1,1
O94832,1,0,1,1
O94874,1,0,1,1
O94875,1,1,1,0
O94876,1,0,1,1
O94885,1,0,1,1
O94888,1,1,1,1
O94906,1,0,1,1
O94915,1,0,1,1
O94929,1,0,1,0
O94952,1,0,1,1
O94964,1,0,1,1
O94973,1,0,1,1
O94979,1,1,1,1
O95071,1,1,1,1
O95139,1,1,1,1
O95147,1,0,1,1
O95155,1,1,1,1
O95197,1,0,1,1
O95218,1,1,1,0
O95229,0,1,1,1
O95235,1,1,1,1
O95239,1,1,1,1
O95248,0,1,1,0
O95251,1,0,1,1
O95292,1,1,1,1
O95298,0,1,0,1
O95336,1,0,1,1
O95340,1,0,1,1
O95361,1,0,1,0
O95365,1,0,1,0
O95372,1,0,1,1
O95373,0,1,1,1
O95376,1,0,1,1
O95391,1,0,1,1
O95394,1,1,1,1
O95400,1,1,1,0
O95425,0,1,1,0
O95433,1,1,1,1
O95453,0,1,1,0
O95456,1,0,1,1
O95466,1,1,1,1
O95470,1,0,1,1
O95503,1,0,1,1
O95544,0,1,1,1
O95551,1,1,1,1
O95571,1,0,1,0
O95573,1,1,1,1
O95602,1,0,1,1
O95625,1,0,1,1
O95628,1,0,1,0
O95630,1,0,1,1
O95671,0,1,1,1
O95677,1,0,1,0
O95684,1,1,1,0
O95696,1,0,1,1
O95707,1,0,1,1
O95714,1,0,1,1
O95747,1,1,1,0
O95772,1,0,1,0
O95785,0,1,1,1
O95793,1,1,1,0
O95816,1,1,1,1
O95817,1,1,1,1
O95819,1,0,1,1
O95835,1,0,1,0
O95905,0,1,1,1
O95997,1,1,1,1
O96013,1,1,1,1
O96019,1,0,1,1
O96028,1,0,1,0
P00338,1,1,1,1
P00387,1,1,1,1
P00390,1,0,1,1
P00441,1,0,1,1
P00491,1,1,1,1
P00492,1,0,1,1
P00533,1,1,1,1
P00558,1,1,1,1
P00966,0,1,1,1
P01106,0,1,1,1
P01111,1,1,1,1
P01116,1,1,1,1
P01116-2,1,0,0,1
P01266,1,0,1,0
P02545,1,1,1,1
P02545-2,1,0,1,1
P02786,1,1,1,1
P02794,1,1,1,1
P04035,1,1,1,1
P04049,1,1,1,0
P04075,1,1,1,1
P04080,1,0,1,1
P04083,1,1,1,1
P04150,0,1,1,1
P04183,1,0,1,1
P04406,1,1,1,1
P04626,1,0,1,1
P04637,1,0,1,1
P04792,1,1,1,1
P04843,1,0,1,1
P04844,1,1,1,1
P04899,1,1,1,1
P04908,1,0,1,1
P04920,1,0,1,1
P05067,1,0,1,1
P05114,1,1,1,1
P05141,1,0,1,1
P05204,1,1,1,1
P05386,0,1,1,1
P05387,1,1,1,1
P05388,1,1,1,1
P05455,1,1,1,1
P05556,1,1,1,1
P05783,1,1,1,1
P06400,1,1,1,1
P06454,1,1,1,1
P06493,1,1,1,1
P06576,1,0,1,1
P06703,1,1,1,1
P06733,1,1,1,1
P06737,1,1,1,1
P06744,1,1,1,1
P06748,1,1,1,1
P06748-2,1,0,1,1
P06756,1,0,1,1
P07108,1,1,1,1
P07195,1,1,1,1
P07237,1,0,1,1
P07305,1,1,1,1
P07355,1,1,1,1
P07384,1,0,1,1
P07437,1,0,1,1
P07737,1,1,1,1
P07741,1,1,1,1
P07814,1,1,1,1
P07864,1,0,1,0
P07900,1,1,1,1
P07910,1,0,1,1
P07948,1,0,1,1
P08069,1,0,1,1
P08107,1,0,1,1
P08133,1,1,1,1
P08238,1,1,1,1
P08243,1,1,1,1
P08559,1,1,1,1
P08579,1,0,1,1
P08581,1,0,1,1
P08621,1,1,1,1
P08651,1,1,1,0
P08670,0,1,1,1
P08708,1,0,1,1
P08754,1,1,1,1
P08758,1,1,1,1
P08865,1,0,1,1
P08913,1,0,1,0
P09012,1,0,1,1
P09211,1,0,1,1
P09234,1,0,1,1
P09382,1,1,1,1
P09429,1,1,1,1
P09496,1,0,1,1
P09543,1,1,1,1
P09651,1,1,1,1
P09661,1,0,1,1
P09874,1,1,1,1
P09884,1,0,1,1
P09960,1,1,1,1
P09972,1,0,1,1
P0C0S5,1,0,1,1
P0CAP2,1,0,1,0
P0CG48,1,0,1,1
P10155,1,0,1,1
P10398,0,1,1,0
P10412,1,1,1,1
P10586,1,0,1,1
P10589,1,0,1,1
P10599,1,1,1,1
P10644,1,1,1,1
P10809,1,0,1,1
P11021,1,0,1,1
P11137,1,1,1,0
P11142,1,1,1,1
P11166,1,1,1,1
P11233,1,1,1,1
P11274,1,0,1,1
P11387,1,1,1,1
P11388,1,1,1,1
P11441,0,1,1,1
P11532,1,0,1,1
P11717,1,1,1,0
P11766,1,0,1,1
P11831,1,0,1,0
P11908,1,0,1,1
P11940,1,1,1,1
P12004,1,1,1,1
P12036,1,0,1,0
P12081,1,1,1,1
P12268,1,1,1,1
P12270,1,1,1,1
P12277,1,1,1,1
P12429,1,0,1,1
P12694,1,0,1,0
P12956,1,1,1,1
P13010,1,1,1,1
P13051,1,1,1,1
P13639,1,1,1,1
P13797,0,1,1,1
P13798,1,1,1,1
P13807,1,1,1,1
P13861,1,1,1,1
P13984,1,0,1,1
P14174,1,0,1,1
P14324,1,0,1,1
P14373,0,1,1,1
P14618,1,1,1,1
P14735,1,1,1,1
P14854,0,1,1,1
P14859,0,1,1,0
P14866,1,1,1,1
P14868,1,0,1,1
P14923,1,0,1,1
P15056,0,1,1,1
P15104,1,0,1,1
P15121,1,1,1,1
P15153,1,0,1,1
P15170,0,1,1,1
P15260,1,0,1,1
P15311,1,1,1,1
P15408,1,1,1,0
P15531,0,1,1,1
P15559,1,1,1,1
P15822,1,0,1,1
P15880,1,1,1,1
P15923,1,1,1,0
P15924,1,1,1,1
P16070,1,1,1,1
P16070-18,1,0,0,0
P16104,1,0,1,1
P16144,1,0,1,1
P16220,1,1,1,1
P16333,1,0,1,0
P16383,1,1,1,0
P16401,1,1,1,1
P16402,0,1,1,1
P16403,1,1,1,1
P16435,0,1,1,1
P16615,1,1,1,1
P16949,1,1,1,1
P16989,1,1,1,1
P17096,1,1,1,1
P17252,1,1,1,1
P17275,0,1,1,1
P17302,0,1,1,1
P17480,1,0,1,1
P17535,1,1,1,1
P17544,1,1,1,0
P17655,0,1,1,1
P17706,0,1,1,1
P17707,1,0,1,1
P17812,1,1,1,1
P17931,1,0,1,0
P17980,1,1,1,1
P17987,1,1,1,1
P18077,1,1,1,1
P18124,1,1,1,1
P18206,1,1,1,1
P18206-2,1,0,0,1
P18583,1,0,1,1
P18615,1,1,1,1
P18669,1,1,1,1
P18754,1,1,1,1
P18827,1,0,1,1
P18850,0,1,1,1
P18858,1,1,1,1
P18887,1,1,1,1
P19021,1,1,1,1
P19022,0,1,1,1
P19338,1,1,1,1
P19484,0,1,1,0
P20020,1,0,1,1
P20042,1,1,1,1
P20073,0,1,1,1
P20226,1,0,1,1
P20290,1,1,1,1
P20337,1,0,1,1
P20393,1,0,1,1
P20618,1,1,1,1
P20700,1,1,1,1
P20809,0,1,1,0
P20810,1,1,1,1
P20962,0,1,1,1
P21127,0,1,1,1
P21266,0,1,1,1
P21291,1,0,1,1
P21333,1,1,1,1
P21359,0,1,1,1
P21399,1,0,1,1
P21583,1,0,0,1
P21731,1,0,1,0
P21796,1,1,1,1
P21964,1,0,1,1
P22059,1,1,1,1
P22087,1,0,1,1
P22102,1,0,1,1
P22223,1,0,1,1
P22234,1,1,1,1
P22307,1,0,1,1
P22314,1,1,1,1
P22392,1,0,1,1
P22626,1,0,1,1
P22695,1,1,1,1
P23193,1,1,1,1
P23246,1,1,1,1
P23258,1,0,1,1
P23381,1,1,1,1
P23396,1,1,1,1
P23497,1,0,1,1
P23508,0,1,1,0
P23526,1,1,1,1
P23527,1,0,1,1
P23528,1,1,1,1
P23588,1,1,1,1
P23634,1,1,1,1
P23921,1,1,1,1
P24385,1,1,1,1
P24534,1,1,1,1
P24844,1,1,1,1
P24928,1,1,1,1
P24941,1,0,1,1
P25116,1,0,1,0
P25205,1,1,1,1
P25398,1,0,1,0
P25440,0,1,1,0
P25490,1,1,1,1
P25685,1,1,1,1
P25686,1,1,1,1
P25705,1,0,1,1
P25786,1,1,1,1
P25787,1,1,1,1
P25788,1,1,1,1
P25788-2,1,0,0,1
P25789,1,1,1,1
P26006,1,0,1,1
P26038,1,1,1,1
P26232,1,0,1,1
P26358,1,1,1,1
P26368,1,1,1,1
P26373,1,1,1,1
P26447,1,1,1,1
P26583,1,0,1,1
P26599,1,0,1,1
P26639,0,1,1,1
P26641,1,1,1,1
P27037,1,0,1,1
P27105,0,1,1,0
P27348,1,1,1,1
P27361,1,1,1,1
P27448,1,0,1,1
P27540,1,1,1,0
P27635,1,1,1,1
P27694,1,0,1,1
P27695,1,0,1,1
